,subway_station,department_store,embassy,beauty_salon,police,courthouse,cemetery,pharmacy,local_government_office,shopping_mall,city_hall,rv_park,shoe_store,bank,bowling_alley,bar,university,car_dealer,movie_theater,taxi_stand,jewelry_store,church,convenience_store,campground,lawyer,parking,post_office,hindu_temple,hardware_store,meal_takeaway,movie_rental,gas_station,funeral_home,aquarium,restaurant,home_goods_store,casino,veterinary_care,airport,bus_station,museum,night_club,electrician,mosque,amusement_park,lodging,florist,liquor_store,hospital,car_rental,stadium,store,hair_care,transit_station,meal_delivery,gym,park,dentist,library,book_store,painter,roofing_contractor,moving_company,clothing_store,furniture_store,physiotherapist,atm,art_gallery,car_wash,locksmith,spa,accounting,cafe,car_repair,synagogue,real_estate_agency,electronics_store,doctor,bicycle_store,storage,zoo,train_station,fire_station,laundry,insurance_agency,plumber,pet_store,bakery,travel_agency,highSales,lowSales
subway_station,1.0,0.09111425077092043,0.1377850428743151,0.06817134439052545,-0.0502230749507603,-0.024788430610565782,-0.020242443487967283,0.07526569215460217,0.05418466024790453,-0.030841400137282045,-0.0025777048749501307,,0.040483909184362246,0.07061927255325988,-0.014560190658208799,0.02678530791523594,0.17276763666368308,-0.06029230406893137,0.1255280885941317,-0.024788430610565765,0.054618969397502416,0.11588069956017583,-0.02874894196613666,-0.009156986997206911,0.049912221490183956,0.15841677835507828,0.07778257931976124,,-0.03423226655282893,0.031040524138149114,-0.007922796137594161,0.11544904113517462,-0.03310877130290768,-0.004565734086432819,0.029981267559834258,-0.02453036328433632,-0.009156986997206925,0.09480909262799636,-0.009156986997206839,0.026159350232762134,-0.029716183905472697,0.01791723436581166,-0.008665834913752935,0.14859326428810404,-0.007922796137594017,0.051935225233174336,0.0641196867705851,0.0379460236063719,0.09329684690117507,0.15980069302514527,-0.013799996964000657,0.016648356428918546,0.044528817614544004,0.02184497023101064,0.030589547153389792,0.06525802591401411,-0.06604176472216332,0.07432941462471611,0.1259875478609709,0.07975456719309688,-0.08357339649966598,-0.02478843061056586,-0.043880147588181054,-0.0025202352416715183,0.04088454635576756,0.07308682200847746,0.06301270236191238,0.10059978512095424,-0.02790572626449825,-0.05452934498521121,0.13236151152109069,0.07137447780411739,0.0793720892852857,0.07708345872512345,-0.010247386289132328,0.0508432640163958,0.07154205225757115,0.05238573775975437,-0.06573827785585572,-0.04420496737025315,-0.0064629211391775375,0.046990259417104434,-0.025708724836453572,0.12800613914661227,0.10639310953009036,-0.038867938538197803,-0.027476992600211202,0.07841677309703764,0.08001175769359535,0.10599978800063638,-0.10599978800063638
department_store,0.09111425077092043,1.0,0.3724802555102086,0.25231233476318826,0.047542575013118815,0.22304020397049032,-0.06116331616453367,0.2639017139187373,0.31728193902979246,0.5200903772245659,0.08289956709807021,,0.442634849902924,0.26351618988863673,0.045618355126691386,0.2956826072986489,0.4145866296238301,0.057074390441470745,0.40021272241842715,0.04682702160901961,0.4481679631413324,0.24690994401539398,0.14613585662027265,-0.039659213591243636,0.3771502457729316,0.4536353539828062,0.09113138066301314,,0.08554237463734062,0.3332153653480076,0.09710101396244519,0.05885716881408933,0.14835299592981344,-0.019774345359439147,0.1112012112293559,0.22003272690145942,0.07425554885168875,0.01747324750580177,0.017298167630222468,0.09230168310400567,0.3249094776093055,0.4862391420669844,-0.03753201767085773,-0.027912278378314406,-0.03431389215214191,0.2613789798840729,0.31359111014854524,0.3614678426374028,0.36392409735975095,0.17965203124427098,-0.021618300784274503,0.07210458240893551,0.17917806702852015,0.09461128868592455,0.09284474401151653,0.2500313361818431,0.2580589150342902,0.2388064894370973,0.24149781300844508,0.49590645450643894,0.02980052163363344,0.002773726018652569,0.1692656471841412,0.2747384651413842,0.3270476532960902,0.19113250787097397,0.2506720640732301,0.4057701968265242,0.01800051840140289,0.2921088682688141,0.3930865863888414,0.3946659641292531,0.29286599085831744,-0.03145708601114656,0.10859369009212222,0.1701048132361251,0.24665590339437485,0.1408122141235503,0.1950598281307259,0.15224600959703968,-0.027991125242417304,-0.06829970009304538,-0.06870244240584783,0.30249023411003634,0.31427343730768503,0.04320385267763725,0.08206642539724686,0.2681215214761969,0.27543625645016484,0.15628547684260538,-0.15628547684260538
embassy,0.1377850428743151,0.3724802555102086,1.0,0.20540904744094465,0.09000100637166751,0.1670048701298711,-0.031990345498855176,0.21579094047416947,0.20675316620913572,0.2677472554340956,0.01831610763643582,,0.21099414710755454,0.14763160016168003,-0.0016686888595784264,0.24034444119530812,0.4018366021063985,0.14573554356237522,0.3212563539742324,0.05742694805194869,0.28218798994587657,0.23769657629244645,0.052004544150472974,0.04145319389389663,0.29091570186999605,0.3637925017035592,0.020375702352019093,,-0.0060002367477395594,0.24145548140601053,-0.02542405487208523,-0.05626639061448766,0.04316212060954635,-0.014651326618643296,0.09620913858416859,0.14565887385511694,0.11229093029485991,0.027164286575782,0.041453193893896435,0.05783287029434909,0.24668827216134742,0.3531894529538699,-0.00343091238370442,-0.014409760442606147,-0.025424054872085187,0.22022775323648444,0.16112637650201705,0.2895092564193472,0.30846570526488504,0.35895750215676364,-0.044283845495223705,0.05342415985821236,0.10886999106401943,0.07009996372327873,0.08830116142669359,0.23779544672110386,0.2346828947000722,0.21267824367042706,0.20847485411916383,0.34298157473135665,-0.06829554410152408,0.057426948051948846,0.15137743541049997,0.1435508517228414,0.24878864281810384,0.1695459757772797,0.14689142506882163,0.3740063700320814,-0.01553397176677324,0.22818619455697856,0.312702900905489,0.3141483399749914,0.19140240363669858,-0.01631631183873563,0.030534777551247786,0.16315476402265164,0.2033781386114747,0.15281199630156211,0.0873946035446472,0.11462199599561196,-0.02073935247389799,-0.10987980203244187,-0.055981230670414835,0.26754655494436025,0.18348464980556536,0.08199080085141107,0.03686223440691873,0.18811641515832875,0.21885993295620365,0.1579270974937069,-0.1579270974937069
beauty_salon,0.06817134439052545,0.25231233476318826,0.20540904744094465,1.0,0.1258837978018658,0.11368208956830114,-0.03182905245377964,0.43149001770158374,0.26057807594768434,0.2256128565654581,0.11541613364984946,,0.3439126009730803,0.3654725307947803,0.027955794837332376,0.28945007820189894,0.19503117100470663,0.08166494982310255,0.2665977478232167,0.07696658217183973,0.3658024179156539,0.2858804982730981,0.029419266163225027,0.008087517099354881,0.38990035223186736,0.24538509583292445,0.2278559301370985,,0.026754547550778995,0.376570689418716,0.048069582098834614,-0.04681422063434685,0.12936364986976787,0.02770144854135772,0.2843686536551738,0.38237021306833036,0.0555577261607861,0.11286166745701828,0.00808751709935481,0.19124903044982794,0.2457853436477951,0.25973035484529966,0.2159379868525459,0.039942196303783394,-0.06145604799977565,0.2951606874644024,0.32606992143797137,0.28857761778321045,0.24916165451554853,0.09081867306597059,-0.04345378604014469,0.24421340928157906,0.493597076798132,0.23808193806171773,0.17781237480377085,0.3105540075911545,0.22837656559293557,0.46688207389031006,0.2615150109351211,0.30655172050388735,0.18055489680196393,-0.033179940017542424,0.11650041234798612,0.3578843977828486,0.26007313060374965,0.3753044063282556,0.3868443127038286,0.253368451693055,-0.012552895705656252,0.15072690582214426,0.40658699289534556,0.33976443798990497,0.3074307470484559,0.09230457898585474,0.062173450883905086,0.3491504981416874,0.2506325710842035,0.358525388089131,0.14439399417925994,0.11924829583500982,-0.027795958700941644,0.004215416154685421,0.08490118768064514,0.26410269186992225,0.3476769966653595,0.09729501995329594,0.08292042358152663,0.3925948576453537,0.3525823701980722,0.13025360541309416,-0.13025360541309416
police,-0.0502230749507603,0.047542575013118815,0.09000100637166751,0.1258837978018658,1.0,0.1482138665975249,-0.012554746648238533,0.16407345960256764,0.33933553826240864,0.06579516949597605,0.17073455148378305,,0.2097058588174478,0.20156462862460686,-0.02958269166294925,0.16774501929801125,-0.03558294399936472,0.020045289172501205,0.1273201313236118,-0.002877939157233431,0.16637727171177363,0.15279627731904677,0.0419925650661014,-0.04093039194126269,0.20378428085765396,0.13858253814987814,0.11689564532472603,,0.05973243437564158,0.2153845390344429,-0.035413739397180406,-0.002721900541385247,0.053815041068343845,-0.020408163265306017,0.13401187885209676,0.16117940678120274,0.07069794971672672,0.04494665749754919,0.01488377888773226,0.07578061980238693,0.19792797085928449,0.23298157322862514,0.0813115169879678,-0.03251280443811754,-0.03541373939718041,0.08116883116883038,0.11876629873500792,0.09336349477438594,0.14878359647389686,0.09956709956709998,-0.02429974460886886,0.07441571709355384,0.09181181799387725,0.07343460870923213,0.12507760647616095,0.1623006176865942,0.014040075215012996,0.21006900368355544,0.2107413996627329,0.18158933543370281,0.02017917651845916,0.14821386659752558,0.0069968619121894915,0.18331361922720363,0.115655164571943,0.20379558785594062,0.18359496589062174,0.04271188433640423,0.011339501179510747,0.13275201653393065,0.17966526950677789,0.13797401320428593,0.1652544212224036,-0.043788120581554846,-0.045804317218713836,0.1168015964136059,0.18560802731204631,0.19800891085975042,0.06945320497205594,0.031434730673096475,-0.028888311776864444,0.03674489276576673,0.05223374458050912,0.133123998998209,0.24583712634011673,0.0779828739874994,-0.024300914655447488,0.1803440897915841,0.14862996314567933,-0.004785894358377161,0.004785894358377161
courthouse,-0.024788430610565782,0.22304020397049032,0.1670048701298711,0.11368208956830114,0.1482138665975249,1.0,-0.044658278115289954,0.09527827688669939,0.24385275709802795,0.1385128128359519,0.1990399600007847,,0.1952281455089961,0.13769767065938615,-0.0321222605468783,0.19875591443888624,0.037108518478353864,0.003023070273249585,0.09470039207420922,0.09598214285714475,0.19400424308778857,0.13826107865585274,0.0688125196785571,-0.020201872973607524,0.20000454503562062,0.11457954897112069,-0.003502073841753245,,-0.01840457233200754,0.15764178972996712,-0.01747903772455837,0.0032287696058876676,0.04434789315376415,-0.010072787050317186,0.06614378277661484,0.07060158816502506,0.07720001457771605,0.007470178808339968,0.07720001457771603,-0.04999932097354282,0.2703798229091324,0.2047010092519682,0.03116035885331707,-0.05043416154912068,-0.01747903772455836,0.1089120099815546,0.11914290193080528,0.20790855398685368,0.09972429949885399,0.02014557410063457,-0.030445143777965884,0.03672910990252087,0.07484811885651195,0.005945979065813921,0.060707048480851795,0.1551212055818025,0.09621397188739456,0.12844923627619803,0.1433264622069244,0.2537541346045416,0.03893678886275929,-0.017020089285714322,-0.025908585455034872,0.10762703445316547,0.09577371558684768,0.12549868224059152,0.120002304371076,0.1515620229125018,0.04020557398458786,0.10554855848569884,0.15507195981574254,0.18086934640116265,0.15770066977734398,-0.03631731564657774,-0.022607479533134987,0.09075051054017949,0.13982247029538722,0.11557186006424555,0.07873048336565099,0.02002718576442666,-0.014258304825804854,0.008462735988495404,-0.02025636636100518,0.14701384815134885,0.18460949439730875,0.043448860298380514,-0.06061892567670404,0.13806417988452277,0.14178175006921054,0.05011148285857943,-0.05011148285857943
cemetery,-0.020242443487967283,-0.06116331616453367,-0.031990345498855176,-0.03182905245377964,-0.012554746648238533,-0.044658278115289954,1.0,-0.013445352884895644,-0.017982237947851823,-0.059218643462487924,0.04375075631760315,,-0.061232518429469474,0.01831345752890277,-0.026231311454981195,-0.005527755013337508,-0.0118936387434224,-0.015071849008969733,-0.04376766893499297,-0.044658278115290044,0.0031376201660166954,0.08767809937250932,-0.012009006716376749,-0.016497021471179738,-0.08586415928153573,0.02444445604419878,-0.007375333815492155,,-0.02730373828548569,0.042509592352180534,-0.0142735310242924,0.02641444346769987,0.010987792504483491,-0.00822552366608757,0.015635508891519583,-0.01259532413356697,-0.016497021471179804,-0.004494892770274298,-0.01649702147117986,0.003920673522920506,0.030994530618079236,-0.04417165420589279,-0.04586542673228767,-0.04118496572291887,-0.014273531024292258,-0.08712561251579581,0.018164861468572432,0.014985230632151774,0.040392971579238886,-0.02121319261254183,0.05364906886924634,0.029993303862013335,0.05207400421352269,0.0393554062103833,-0.0019940915421183484,-0.04010859569894401,0.037779781386365854,-0.015758799264835307,0.03182905245377943,-0.021966731620434582,0.03548761251919108,-0.0446582781152904,0.034707692743989015,-0.04038565454402762,-0.06053565001401988,-0.0403856545440273,0.04487498266394608,-0.04204797148809531,-0.05027432773408198,0.000594832283294688,-0.00873575898541198,-0.05449382570353859,-0.024595444820623775,-0.018869264829875405,-0.018461460269284084,0.01427192580173541,-0.0011640510546652447,-0.0068416270497957165,-0.051113016984491014,0.0335320729664438,-0.011643453117501812,-0.00969750442641688,0.041440863726308196,-0.03229815993667589,-0.029445574761779936,0.02326442053169865,-0.008122607844134423,0.05718692392667012,-0.023069774032762884,-0.010050885785905664,0.010050885785905664
pharmacy,0.07526569215460217,0.2639017139187373,0.21579094047416947,0.43149001770158374,0.16407345960256764,0.09527827688669939,-0.013445352884895644,1.0,0.30321699052795376,0.28506774113658223,0.1735299267827642,,0.44100136386470695,0.46215848731475156,0.010238330728166076,0.3532526939056842,0.22221250293201064,0.07525781356619612,0.28177702816277733,0.11297094178312961,0.3963564570852834,0.23202418060636176,0.05282479131240256,-0.0301613721821898,0.4230102333014918,0.27140492597817106,0.29321239272594235,,0.08175265259930131,0.42550004506687455,0.0530720114235285,-0.04889503427465191,0.12528955659675936,-0.06066155715481179,0.3683804427106895,0.32773262270879094,0.06133941983119493,0.11754476412139411,0.01558902382450254,0.2463744718241728,0.26934780719499185,0.28579638835917837,0.18006674129758143,0.05795418860471788,-0.05248558035807478,0.3134462075826617,0.3081566818655943,0.3416578252124168,0.3131653548631762,0.10053934960198577,-0.06077632612870982,0.22119449050866025,0.4378110530328758,0.23070583528848573,0.2185644201129568,0.3393418071640394,0.2326147251807261,0.4534599278759445,0.31869135420354366,0.3568678795097916,0.11605383704563116,-0.01087771249187909,0.10522879797279502,0.4757785904710101,0.3441720884184741,0.39183412244044546,0.4620918850336255,0.26073437497869434,0.011655499032749508,0.2881213644760479,0.31939039722990253,0.27769393788222607,0.3922608229236662,0.04037570049285955,0.0686436193426106,0.413947296187808,0.3921582730273674,0.4194647776116575,0.21263671139641233,0.1415127834829429,-0.021287632047783396,-0.06487158630324567,0.052330118366686655,0.337800113214531,0.3857455017176977,0.05403242860089118,0.13560643135059208,0.385467209284283,0.39407639613280687,0.1608412149546165,-0.1608412149546165
local_government_office,0.05418466024790453,0.31728193902979246,0.20675316620913572,0.26057807594768434,0.33933553826240864,0.24385275709802795,-0.017982237947851823,0.30321699052795376,1.0,0.2198151372550009,0.5487838590160375,,0.36420451015655914,0.3980001563704748,-0.004130327621907023,0.31583056713538266,0.2695519772021068,0.010883903321863132,0.31255907706027886,0.023481187217987337,0.33204460257775137,0.27136322633450843,0.06920974195954346,-0.07273242514768184,0.36357599282269915,0.3067986650370332,0.2080394399163246,,0.01085319921094481,0.34937165622788835,-0.012361142428630272,-0.026099190335716824,0.09362702169421423,-0.03626486668453207,0.1807283836140882,0.1655619895987215,0.10260467119048036,0.11766450913024223,0.05877039710593976,0.1269895799528565,0.3137302574730172,0.35959600526971713,0.10464366747648486,0.0008106123564608363,-0.012361142428630269,0.3003184272312809,0.3084318836994905,0.3333368360179983,0.2747695407517758,0.15412568340926355,0.03718947401281788,0.13223512692194855,0.20631624668470938,0.11647205285789665,0.18195459579577253,0.24232767201094718,0.20402953511771776,0.38249538110084624,0.2929514442370993,0.40454202961660374,0.08606847974608325,-0.010422131225095985,0.03434906515445316,0.2748874193892082,0.2845928297155753,0.28293028926730557,0.3550275123169559,0.3297158133662731,-0.06898307738076707,0.22292410934191692,0.36571564191200195,0.30358775618093076,0.32491068516017013,-0.04791657080644053,0.11482267050056513,0.2110590230578604,0.31696681486831146,0.29307232590021065,0.09883519697355335,0.07210350205809408,-0.05133390799113125,0.04559032942165497,0.05834289333629915,0.2717233341586754,0.39402110049507294,0.04014069560585361,0.10671547575902385,0.27695224485171804,0.2994054639470982,0.09020771689863959,-0.09020771689863959
shopping_mall,-0.030841400137282045,0.5200903772245659,0.2677472554340956,0.2256128565654581,0.06579516949597605,0.1385128128359519,-0.059218643462487924,0.28506774113658223,0.2198151372550009,1.0,0.00530662683456738,,0.48468256280235833,0.2347120040123619,0.0299745324665089,0.23029866823384454,0.2874596549453278,0.06958330061292567,0.2767333237471105,0.102062072615965,0.4111932869662844,0.20447945297729656,0.1103709012366357,-0.009425577263592408,0.3001024419800509,0.3663462278623183,0.12454411962617751,,0.09258180373599732,0.3130388761043362,0.005436790300955517,0.0397469808759119,0.09371974928126138,-0.028197929783990255,0.154303349962092,0.25821576691642295,0.08483019537233283,0.054216670719362606,-0.009425577263592437,0.057327704790594965,0.22431061382393216,0.3688555567816566,-0.04541100500385693,0.035296560400126305,0.00543679030095572,0.18093671611393436,0.20974369170191148,0.3545359569938998,0.28628826332225105,0.16814321093416496,-0.0536624823631192,0.10282008910603735,0.19578869134059335,0.07358963233270278,0.09052452550075053,0.3301956617678401,0.29442509983169796,0.2441430727607484,0.17409496018436832,0.3796300230712198,-0.06732371642558278,0.010935222065996349,0.1063430942695146,0.34761718543520875,0.30915378136106575,0.200614893086985,0.2879643238743767,0.27768264299030143,0.04103464211581584,0.31889097310963616,0.3370897796882236,0.2879266702727312,0.27121100620765337,-0.09877574374269688,0.1476714379375865,0.15855824728316065,0.2936905322934235,0.08953136944759509,0.22555498415031766,0.13650472655798618,-0.03991493876604044,-0.051213774705143905,-0.017641870800832113,0.25458862693143774,0.23680844583262436,0.0350070021007005,0.19631687984657825,0.18848023672966943,0.25884144293425615,0.10506787307658863,-0.10506787307658863
